state_ut,district,total_crimes,risk_score,risk_label,crime_rate
Andhra Pradesh,ANANTAPUR,15163.0,0.0005930348616734355,medium,0.002786280028584958
Andhra Pradesh,CHITTOOR,12502.0,0.0004889614087345044,low,0.0022973074534966133
Andhra Pradesh,CUDDAPAH,15712.0,0.0006145066112651202,high,0.002887161630886161
Andhra Pradesh,CYBERABAD,47514.0,0.0018583036613830782,medium,0.008730944356538001
Andhra Pradesh,EAST GODAVARI,15748.0,0.0006159145948449027,high,0.0028937768179223057
Andhra Pradesh,GUNTAKAL RLY.,858.0,3.355694198481881e-05,low,0.00015766195769477637
Andhra Pradesh,GUNTUR,16104.0,0.000629837988022753,medium,0.0029591936675019566
Andhra Pradesh,GUNTUR URBAN,11448.0,0.0004477387783708692,medium,0.0021036294774939394
Andhra Pradesh,HYDERABAD CITY,38985.0,0.0015247288849395818,high,0.007163696294558109
Andhra Pradesh,KARIMNAGAR,20197.0,0.0007899178989130368,medium,0.003711303682472492
Andhra Pradesh,KHAMMAM,23969.0,0.0009374432895502587,medium,0.004404428279704073
Andhra Pradesh,KRISHNA,16169.0,0.0006323801805973605,high,0.0029711377552061064
Andhra Pradesh,KURNOOL,16905.0,0.0006611656226729161,high,0.0031063815790561707
Andhra Pradesh,MAHABOOBNAGAR,18523.0,0.0007244466624531454,medium,0.003403697485291775
Andhra Pradesh,MEDAK,15908.0,0.0006221722996439366,high,0.002923177649194059
Andhra Pradesh,NALGONDA,22900.0,0.0008956339993617141,medium,0.004207993975769673
Andhra Pradesh,NELLORE,16983.0,0.000664216253762445,medium,0.0031207144843011505
Andhra Pradesh,NIZAMABAD,17789.0,0.0006957394416875778,high,0.003268821171832607
Andhra Pradesh,PRAKASHAM,14706.0,0.0005751612923411951,high,0.002702303904265013
Andhra Pradesh,RAJAHMUNDRY,5269.0,0.00020607404116318218,medium,0.0009682061248179216
Andhra Pradesh,RANGA REDDY,5017.0,0.0001962181561047039,medium,0.0009218998155649103
Andhra Pradesh,SECUNDERABAD RLY.,2448.0,9.57428834252173e-05,low,0.0004498327184578235
Andhra Pradesh,SRIKAKULAM,10977.0,0.0004293176598687134,high,0.002017080780437716
Andhra Pradesh,TIRUPATHI URBAN,6773.0,0.0002648964662741,low,0.0012445739387724013
Andhra Pradesh,TOTAL,7366.0,0.0007202227117137977,high,0.0013535407696733366
Andhra Pradesh,VIJAYAWADA CITY,22481.0,0.0008792466349192443,high,0.004131000548876769
Andhra Pradesh,VIJAYAWADA RLY.,2196.0,8.588699836673905e-05,low,0.00040352640920481226
Andhra Pradesh,VISAKHA RURAL,7381.0,0.0002886757445104284,medium,0.0013562970976050634
Andhra Pradesh,VISAKHAPATNAM,15823.0,0.00061884789396945,high,0.00290755845758094
Andhra Pradesh,VIZIANAGARAM,10961.0,0.00042869188938881,high,0.0020141406973105407
Andhra Pradesh,WARANGAL,11762.0,0.000460019524038973,medium,0.0021613286088647547
Andhra Pradesh,WARANGAL URBAN,9904.0,0.00038735192706019285,medium,0.0018199114557215213
Andhra Pradesh,WEST GODAVARI,20051.0,0.0007842077432839184,high,0.0036844754239370174
Andhra Pradesh,ZZ TOTAL,495921.0,0.032326325225433813,high,0.0911280602819944
Arunachal Pradesh,ANJAW,62.0,2.4248606096256016e-06,low,1.1392822117804354e-05
Arunachal Pradesh,CHANGLANG,425.0,1.6622028372433557e-05,low,7.809595806559435e-05
Arunachal Pradesh,DIBANG VALLEY,204.0,7.978573618768108e-06,low,3.748605987148529e-05
Arunachal Pradesh,K/KUMEY,86.0,3.3635163294806725e-06,low,1.5802946808567328e-05
Arunachal Pradesh,KAMENG EAST,363.0,1.4197167762807958e-05,low,6.670313594779e-05
Arunachal Pradesh,KAMENG WEST,366.0,1.4314499727789838e-05,low,6.725440153413537e-05
Arunachal Pradesh,LOHIT,749.0,2.9293880590477025e-05,low,0.00013763264139089452
Arunachal Pradesh,LONGDING,168.0,6.570590038985501e-06,low,3.087087283534083e-05
Arunachal Pradesh,PAPUM PARE,1384.0,5.412914651164246e-05,low,0.00025431719050066494
Arunachal Pradesh,RURAL,242.0,9.464778508538638e-06,low,4.446875729852667e-05
Arunachal Pradesh,SIANG EAST,541.0,2.1158864351733074e-05,low,9.94115607376154e-05
Arunachal Pradesh,SIANG UPPER,153.0,5.983930214076081e-06,low,2.811454490361397e-05
Arunachal Pradesh,SIANG WEST,597.0,2.3349061031394907e-05,low,0.00010970185168272902
Arunachal Pradesh,SUBANSIRI LOWER,249.0,9.738553093496367e-06,low,4.575504366666587e-05
Arunachal Pradesh,SUBANSIRI UPPER,382.0,1.4940270207693224e-05,low,7.019448466131069e-05
Arunachal Pradesh,TAWANG,115.0,4.49772532430555e-06,low,2.113184747657259e-05
Arunachal Pradesh,TIRAP,205.0,8.017684273762069e-06,low,3.766981506693375e-05
Arunachal Pradesh,TOTAL,124.0,1.2124303048128007e-05,low,2.2785644235608707e-05
Arunachal Pradesh,UPPER DIBANG VALLEY,30.0,1.1733196498188395e-06,low,5.512655863453719e-06
Arunachal Pradesh,ZZ TOTAL,6197.0,0.0004039478816626305,high,0.00113873094619409
Assam,BAKSA,1695.0,6.629256021476444e-05,low,0.00031146505628513516
Assam,BARPETA,18949.0,0.000741107801480573,low,0.0034819771985528177
Assam,BIEO,14.0,5.475491699154584e-07,low,2.5725727362784023e-06
Assam,BONGAIGAON,3392.0,0.0001326633417395168,low,0.0006232976229611672
Assam,C.I.D.,118.0,4.615057289287435e-06,low,2.168311306291796e-05
Assam,CACHAR,11099.0,0.0004340891597779766,low,0.002039498914282428
Assam,CHIRANG,1724.0,6.742676920958931e-05,low,0.00031679395695314043
Assam,DARRANG,5800.0,0.00022684179896497562,low,0.0010657801336010524
Assam,DHEMAJI,3090.0,0.00012085192393134048,low,0.0005678035539357331
Assam,DHUBRI,16161.0,0.0006320672953574088,high,0.0029696677136425184
Assam,DIBRUGARH,8084.0,0.0003161705349711833,low,0.0014854770000053289
Assam,G.R.P.,782.0,3.058453220527775e-05,low,0.0001436965628406936
Assam,GOALPARA,5377.0,0.00021029799190253,low,0.000988051685926355
Assam,GOLAGHAT,6280.0,0.00024561491336207706,low,0.0011539826274163118
Assam,GUWAHATI CITY,27145.0,0.0010616587298110799,low,0.004988034780448374
Assam,HAILAKANDI,3186.0,0.00012460654681076077,low,0.000585444052698785
Assam,HAMREN,527.0,2.0611315181817612e-05,low,9.6838988001337e-05
Assam,JORHAT,7882.0,0.00030827018266240314,low,0.0014483584505247406
Assam,KAMRUP,7441.0,0.0002910223838100662,low,0.001367322409331971
Assam,KARBI ANGLONG,1391.0,5.440292109660018e-05,low,0.00025560347686880413
Assam,KARIMGANJ,5262.0,0.0002058002665782244,low,0.0009669198384497824
Assam,KOKRAJHAR,3329.0,0.00013019937047489724,low,0.0006117210456479143
Assam,LAKHIMPUR,5080.0,0.0001986821273693235,low,0.0009334763928781631
Assam,MORIGAON,4294.0,0.0001679411525440699,low,0.0007890448092556757
Assam,N.C.HILLS,551.0,2.1549970901672684e-05,low,0.00010124911269209997
Assam,NAGAON,16549.0,0.0006472422294950658,low,0.00304096472947652
Assam,NALBARI,4617.0,0.0001805738941071194,low,0.0008483977373855274
Assam,R.P.O.,184.0,7.196360518888882e-06,low,3.381095596251615e-05
Assam,SIBSAGAR,7555.0,0.0002954809984793777,low,0.001388270501613095
Assam,SONITPUR,9220.0,0.00036060023904432327,low,0.0016942229020347763
Assam,STF,26.0,1.0168770298429942e-06,low,4.77763508165989e-06
Assam,TINSUKIA,6859.0,0.00026825998260358066,low,0.0012603768855809687
Assam,TOTAL,964.0,9.425667853544677e-05,high,0.00017714000841231284
Assam,UDALGURI,2438.0,9.535177687527768e-05,low,0.0004479951665033389
Assam,ZZ TOTAL,195137.0,0.01271989313926105,high,0.03585743757422562
BIHAR,ARARIA,61373.0,0.002400338228944388,high,0.01127760761025817
BIHAR,ARWAL,16374.0,0.0006403978648711225,medium,0.0030088075702730402
BIHAR,AURANGABAD,69313.0,0.0027108768295964407,high,0.012736623862118922
BIHAR,BAGAHA,35690.0,0.0013958592767344792,medium,0.006558222925555441
BIHAR,BANKA,41502.0,0.0016231704035593827,medium,0.007626208121501875
BIHAR,BEGUSARAI,81985.0,0.0032064870496799182,high,0.015065169698841772
BIHAR,BETTIAH,90724.0,0.003548275063672146,high,0.01667100635186584
BIHAR,BHABHUA,41771.0,0.001633691169752758,medium,0.0076756382690775105
BIHAR,BHAGALPUR,84957.0,0.0033227239163219715,high,0.015611290139714587
BIHAR,BHOJPUR,87892.0,0.0034375136887292482,high,0.01615061163835581
BIHAR,BUXAR,48467.0,0.001895576115592323,high,0.008906063057800381
BIHAR,DARBHANGA,98537.0,0.003853846611139966,high,0.01810668569390464
BIHAR,GAYA,105395.0,0.004122067483088554,high,0.019366878824290158
BIHAR,GOPALGANJ,67457.0,0.0026382874539276485,high,0.012395574219366585
BIHAR,JAMALPUR RLY.,7262.0,0.00028402157656614706,low,0.001334430229346697
BIHAR,JAMUI,40654.0,0.0015900045681245035,high,0.007470383715761583
BIHAR,JEHANABAD,37503.0,0.0014667668942385313,high,0.006891371094903494
BIHAR,KATIHAR,64957.0,0.002540510816442745,medium,0.011936186230745442
BIHAR,KATIHAR RLY.,13022.0,0.0005092989493313642,low,0.002392860155129811
BIHAR,KHAGARIA,40833.0,0.0015970053753684224,medium,0.007503275895746857
